SUMLEV,REGION,STATE,COUNTY,REGNAME,STNAME,CTYNAME,CENSUS2010HU,HUESTIMATESBASE2010,HUESTIMATE2010,HUESTIMATE2011,HUESTIMATE2012,HUESTIMATE2013,HUESTIMATE2014,HUESTIMATE2015,HUESTIMATE2016,HUESTIMATE2017,HUESTIMATE2018,HUESTIMATE2019,HUESTIMATE042020,HUESTIMATE2020
040,3,51,000,South Region,Virginia,Virginia,3364939,3364941,3368655,3383395,3400386,3421124,3446118,3467552,3488645,3512188,3538422,3562403,3580863,3586972
050,3,51,001,South Region,Virginia,Accomack County,21002,21001,21015,21065,21094,21157,21204,21229,21234,21248,21269,21316,21346,21356
050,3,51,003,South Region,Virginia,Albemarle County,42122,42117,42177,42737,43343,43613,43959,44292,44715,45342,46070,47079,47730,47945
050,3,51,005,South Region,Virginia,Alleghany County,8074,8080,8078,8074,8064,8059,8054,8049,8044,8034,8028,8020,8015,8013
050,3,51,007,South Region,Virginia,Amelia County,5359,5359,5367,5406,5423,5444,5475,5509,5539,5578,5629,5671,5709,5721
050,3,51,009,South Region,Virginia,Amherst County,13976,13977,13991,14031,14050,14080,14120,14143,14167,14187,14234,14270,14285,14290
050,3,51,011,South Region,Virginia,Appomattox County,6921,6944,6965,7015,7067,7105,7157,7208,7249,7312,7368,7422,7472,7489
050,3,51,013,South Region,Virginia,Arlington County,105404,105433,105507,106105,107748,109643,110280,112099,112438,114002,116515,118899,119200,119299
050,3,51,015,South Region,Virginia,Augusta County,31194,31193,31221,31460,31622,31747,31878,32228,32383,32529,32706,32860,33102,33182
050,3,51,017,South Region,Virginia,Bath County,3270,3268,3271,3288,3292,3294,3299,3295,3300,3302,3301,3299,3300,3300
050,3,51,019,South Region,Virginia,Bedford County,31937,34859,34925,35197,35422,35664,36000,36366,36621,36861,36999,37030,37037,37039
050,3,51,021,South Region,Virginia,Bland County,3265,3265,3274,3280,3285,3286,3289,3296,3303,3319,3337,3355,3369,3374
050,3,51,023,South Region,Virginia,Botetourt County,14562,14564,14574,14616,14647,14696,14734,14782,14838,14880,14931,15016,15074,15093
050,3,51,025,South Region,Virginia,Brunswick County,8166,8157,8158,8165,8197,8216,8230,8219,8225,8237,8259,8247,8239,8237
050,3,51,027,South Region,Virginia,Buchanan County,11576,11583,11588,11595,11594,11595,11596,11589,11579,11568,11561,11548,11542,11540
050,3,51,029,South Region,Virginia,Buckingham County,7244,7240,7248,7271,7293,7318,7355,7380,7418,7438,7463,7475,7505,7515
050,3,51,031,South Region,Virginia,Campbell County,24769,24756,24781,24854,24912,25150,25428,25679,25753,25813,26072,26105,26131,26140
050,3,51,033,South Region,Virginia,Caroline County,11729,11731,11750,11830,11878,11973,12040,12096,12156,12247,12324,12408,12476,12499
050,3,51,035,South Region,Virginia,Carroll County,16569,16586,16604,16651,16675,16711,16731,16753,16780,16753,16734,16705,16686,16680
050,3,51,036,South Region,Virginia,Charles City County,3229,3228,3233,3271,3294,3307,3322,3335,3345,3357,3377,3389,3399,3403
050,3,51,037,South Region,Virginia,Charlotte County,6273,6284,6295,6308,6330,6336,6345,6346,6349,6347,6349,6358,6362,6363
050,3,51,041,South Region,Virginia,Chesterfield County,122555,122559,122717,123421,123942,125161,126362,127766,128809,130289,132273,134283,136493,137225
050,3,51,043,South Region,Virginia,Clarke County,6235,6230,6232,6240,6242,6246,6258,6275,6302,6344,6379,6396,6512,6551
050,3,51,045,South Region,Virginia,Craig County,2809,2805,2808,2822,2880,2880,2880,2892,2898,2904,2910,2909,2911,2912
050,3,51,047,South Region,Virginia,Culpeper County,17657,17653,17660,17725,17833,17950,18111,18291,18471,18648,18939,19241,19427,19488
050,3,51,049,South Region,Virginia,Cumberland County,4626,4626,4631,4644,4657,4672,4685,4698,4711,4722,4744,4762,4783,4790
050,3,51,051,South Region,Virginia,Dickenson County,7579,7572,7574,7576,7589,7595,7590,7586,7583,7576,7574,7563,7557,7555
050,3,51,053,South Region,Virginia,Dinwiddie County,11422,11426,11454,11509,11555,11593,11634,11657,11700,11742,11802,11857,11910,11927
050,3,51,057,South Region,Virginia,Essex County,5757,5758,5763,5777,5791,5808,5819,5824,5832,5845,5864,5892,5909,5914
050,3,51,059,South Region,Virginia,Fairfax County,407998,407969,407994,408239,408351,409064,409347,410771,412613,414383,415439,416059,416936,417226
050,3,51,061,South Region,Virginia,Fauquier County,25600,25616,25630,25734,25856,25973,26188,26400,26543,26807,27125,27399,27505,27540
050,3,51,063,South Region,Virginia,Floyd County,7790,7795,7814,7848,7876,7919,7958,7991,8017,8052,8083,8110,8119,8122
050,3,51,065,South Region,Virginia,Fluvanna County,10383,10402,10424,10506,10555,10619,10689,10768,10852,10945,11056,11160,11240,11267
050,3,51,067,South Region,Virginia,Franklin County,29315,29297,29321,29403,29483,29580,29654,29726,29831,29909,29995,30073,30133,30153
050,3,51,069,South Region,Virginia,Frederick County,31346,31332,31391,31596,31934,32158,32468,32852,33461,34190,34795,35451,35987,36165
